Frequency,Amplitude
0.0,443.01641845703125
0.0008264462809917355,67.36997985839844
0.001652892561983471,55.90464782714844
0.0024793388429752063,56.051761627197266
0.003305785123966942,51.79167175292969
0.004132231404958678,52.35097885131836
0.004958677685950413,45.040077209472656
0.005785123966942148,44.11087417602539
0.006611570247933884,52.213558197021484
0.00743801652892562,54.97602081298828
0.008264462809917356,54.141746520996094
0.00909090909090909,57.048587799072266
0.009917355371900825,51.514930725097656
0.010743801652892562,48.444759368896484
0.011570247933884297,61.504329681396484
0.012396694214876033,67.9286117553711
0.013223140495867768,52.30365753173828
0.014049586776859503,41.826175689697266
0.01487603305785124,41.495338439941406
0.015702479338842976,44.953495025634766
0.01652892561983471,48.30209732055664
0.017355371900826446,40.97465896606445
0.01818181818181818,43.15092849731445
0.019008264462809916,54.382469177246094
0.01983471074380165,51.770572662353516
0.02066115702479339,49.35789489746094
0.021487603305785124,47.25419235229492
0.02231404958677686,43.30904006958008
0.023140495867768594,42.55356216430664
0.02396694214876033,44.16449737548828
0.024793388429752067,41.49668884277344
0.0256198347107438,38.904293060302734
0.026446280991735537,40.67555618286133
0.02727272727272727,42.875694274902344
0.028099173553719006,48.0361442565918
0.028925619834710745,45.477142333984375
0.02975206611570248,46.927001953125
0.030578512396694214,38.93342971801758
0.03140495867768595,42.01153564453125
0.032231404958677684,40.295597076416016
0.03305785123966942,37.26230239868164
0.033884297520661154,40.19255447387695
0.03471074380165289,46.5308723449707
0.03553719008264463,48.31771469116211
0.03636363636363636,45.587223052978516
0.0371900826446281,45.55359649658203
0.03801652892561983,40.508174896240234
0.03884297520661157,38.01911926269531
0.0396694214876033,40.55036926269531
0.04049586776859504,39.66269302368164
0.04132231404958678,44.9119873046875
0.04214876033057851,43.39900588989258
0.04297520661157025,42.05233383178711
0.04380165289256198,42.92508316040039
0.04462809917355372,43.77098083496094
0.045454545454545456,41.55833435058594
0.04628099173553719,37.31623077392578
0.047107438016528926,39.33824157714844
0.04793388429752066,40.24064254760742
0.048760330578512395,42.48396682739258
