Velocity Anterior2,Amplitude
0.0,170798304.0
0.04743833017077798,26388850.0
0.09487666034155597,9875683.0
0.14231499051233396,6391538.0
0.18975332068311193,4648613.0
0.2371916508538899,3653143.5
0.2846299810246679,3055035.0
0.3320683111954459,2598500.75
0.37950664136622386,2273452.25
0.42694497153700184,1996683.25
0.4743833017077798,1773814.25
0.5218216318785578,1633485.75
0.5692599620493358,1499549.25
0.6166982922201137,1387288.0
0.6641366223908918,1289225.875
0.7115749525616697,1204493.375
0.7590132827324477,1134011.125
0.8064516129032258,1069567.25
0.8538899430740037,1009549.0625
0.9013282732447817,951967.875
0.9487666034155596,905383.4375
0.9962049335863377,864348.4375
1.0436432637571156,822336.4375
1.0910815939278935,787942.625
1.1385199240986716,752636.9375
1.1859582542694496,723095.5625
1.2333965844402275,698138.8125
1.2808349146110056,669869.75
1.3282732447817835,647462.875
1.3757115749525615,623377.0
1.4231499051233394,604393.5
1.4705882352941175,583487.4375
1.5180265654648954,566433.1875
1.5654648956356734,549139.625
1.6129032258064515,533836.375
1.6603415559772294,518146.15625
1.7077798861480074,503705.65625
1.7552182163187853,491077.90625
1.8026565464895634,477397.65625
1.8500948766603413,465887.21875
1.8975332068311193,453990.5
1.9449715370018974,443870.3125
1.9924098671726753,433544.5625
2.0398481973434532,423433.5625
2.087286527514231,413405.6875
2.134724857685009,404713.09375
2.182163187855787,395524.625
2.2296015180265654,387628.71875
2.2770398481973433,379267.0625
2.324478178368121,371817.8125
2.371916508538899,364881.8125
2.419354838709677,356991.84375
2.466793168880455,350866.53125
2.514231499051233,344644.15625
2.5616698292220113,338336.75
2.609108159392789,332538.71875
2.656546489563567,326844.46875
2.703984819734345,321351.25
2.751423149905123,315702.0
2.798861480075901,311431.0625
2.8462998102466788,305198.71875
2.893738140417457,300462.0
2.941176470588235,296024.90625
2.988614800759013,291437.46875
3.036053130929791,286875.15625
3.083491461100569,282366.84375
3.1309297912713467,278788.75
3.1783681214421247,274236.84375
3.225806451612903,270926.0625
3.273244781783681,266357.125
3.320683111954459,263605.21875
3.368121442125237,259914.15625
3.4155597722960147,256249.515625
3.4629981024667926,253211.46875
3.5104364326375705,249509.8125
3.557874762808349,246008.578125
3.605313092979127,243389.828125
3.6527514231499048,240166.484375
3.7001897533206827,238308.609375
3.7476280834914606,234204.75
3.7950664136622385,231909.140625
3.8425047438330164,229161.25
3.889943074003795,226171.328125
3.9373814041745727,224047.09375
3.9848197343453506,220879.421875
4.032258064516128,219292.59375
4.0796963946869065,216325.125
4.127134724857685,214304.1875
4.174573055028462,212211.515625
4.222011385199241,209571.578125
4.269449715370018,207612.359375
4.3168880455407965,205708.34375
4.364326375711574,203493.984375
4.411764705882352,201221.640625
4.459203036053131,199463.1875
4.506641366223908,197245.484375
4.554079696394687,195695.0
4.601518026565464,193095.5
4.648956356736242,192002.984375
4.69639468690702,189932.421875
4.743833017077798,188511.28125
4.791271347248577,186798.6875
4.838709677419354,184485.40625
4.8861480075901325,183597.34375
4.93358633776091,181197.859375
4.981024667931688,179875.71875
5.028462998102466,178507.125
5.075901328273244,177121.265625
5.1233396584440225,176064.390625
5.1707779886148,174619.078125
5.218216318785578,172742.015625
5.265654648956356,171151.109375
5.313092979127134,169889.03125
5.360531309297912,168784.3125
5.40796963946869,167703.140625
5.455407969639468,166128.6875
5.502846299810246,164729.0
5.550284629981024,163657.078125
5.597722960151802,162759.1875
5.64516129032258,161202.390625
5.6925996204933575,160242.25
5.740037950664136,159097.75
5.787476280834914,158037.546875
5.834914611005692,156839.140625
5.88235294117647,155627.078125
5.929791271347248,154633.15625
5.977229601518026,153286.578125
6.024667931688803,152299.015625
6.072106261859582,151408.890625
6.11954459203036,150265.65625
6.166982922201138,149367.125
6.214421252371916,148582.484375
6.2618595825426935,147527.015625
6.309297912713472,146353.15625
6.356736242884249,145674.328125
6.404174573055028,144642.328125
6.451612903225806,143674.0
6.4990512333965835,143096.640625
6.546489563567362,142144.890625
6.593927893738139,141416.25
6.641366223908918,140172.96875
6.688804554079695,139115.6875
6.736242884250474,138723.140625
6.783681214421252,137935.15625
6.831119544592029,137352.75
6.878557874762808,136462.40625
6.925996204933585,135516.515625
6.973434535104364,135059.234375
7.020872865275141,133861.796875
7.0683111954459195,133224.546875
7.115749525616698,133282.328125
7.163187855787475,132446.96875
7.210626185958254,131380.453125
7.258064516129031,130634.609375
7.3055028462998095,130068.265625
7.352941176470587,130026.640625
7.400379506641365,128551.8046875
7.447817836812144,128086.0390625
7.495256166982921,126759.671875
7.5426944971536996,126564.015625
7.590132827324477,126759.1484375
7.637571157495255,125774.578125
7.685009487666033,125725.0703125
7.732447817836811,124823.6484375
7.77988614800759,123497.7734375
7.827324478178367,123364.5625
7.874762808349145,122893.7109375
7.922201138519923,122352.3359375
7.969639468690701,122254.9375
8.017077798861479,121553.5
8.064516129032256,120651.4921875
8.111954459203035,120198.1796875
8.159392789373813,119615.78125
8.20683111954459,119349.7109375
8.25426944971537,118603.5234375
8.301707779886147,118279.015625
8.349146110056925,117734.0546875
8.396584440227702,117422.4921875
8.444022770398481,116319.6171875
8.491461100569259,115839.21875
8.538899430740036,115556.3828125
8.586337760910816,115307.0390625
8.633776091081593,115406.0625
8.68121442125237,114548.2578125
8.728652751423148,114402.75
8.776091081593927,113652.1171875
8.823529411764705,112774.265625
8.870967741935482,112724.5625
8.918406072106261,112134.40625
8.965844402277039,111909.0390625
9.013282732447816,111178.1796875
9.060721062618594,111090.546875
9.108159392789373,110840.4609375
9.15559772296015,110272.015625
