Time,Velocity
0,1.7281363010406494
1,1.4508051872253418
2,1.8818411827087402
3,1.746522068977356
4,1.4917024374008179
5,1.797655701637268
6,1.4634957313537598
7,1.627591609954834
8,1.772853970527649
9,1.6213202476501465
10,1.3905951976776123
11,1.5037606954574585
12,1.4446355104446411
13,1.4444040060043335
14,1.428112506866455
15,1.9841952323913574
16,1.7454676628112793
17,1.442106008529663
18,1.4336861371994019
19,1.4410054683685303
20,1.4159945249557495
21,1.4111248254776
22,1.4459447860717773
23,1.443659782409668
24,1.443463683128357
25,1.4708449840545654
26,1.569786787033081
27,1.4697152376174927
28,1.4898649454116821
29,1.4219037294387817
30,1.6816761493682861
31,1.4210169315338135
32,1.5801643133163452
33,1.5879523754119873
34,1.5809916257858276
35,1.8274192810058594
36,1.5881168842315674
37,1.7055350542068481
38,1.734912395477295
39,1.432424783706665
40,1.4070408344268799
41,1.4272714853286743
42,1.4195820093154907
43,1.4314337968826294
44,1.5826349258422852
45,1.7131330966949463
46,1.4512568712234497
47,1.4293532371520996
48,1.4621987342834473
49,1.4084545373916626
50,1.8688464164733887
51,1.6560002565383911
52,1.7010570764541626
53,1.4160948991775513
54,1.5899465084075928
55,1.4318592548370361
56,1.4352227449417114
57,1.3802695274353027
58,1.4099150896072388
59,1.4413833618164062
60,1.443884015083313
61,1.4249498844146729
62,1.370274305343628
63,1.4015980958938599
64,1.4354444742202759
65,1.430859088897705
66,1.3907333612442017
67,1.3754020929336548
68,1.4270057678222656
69,1.3977265357971191
70,1.3693029880523682
71,1.3692386150360107
72,1.6755856275558472
73,1.426188588142395
74,1.4451316595077515
75,1.4029088020324707
76,1.2290600538253784
77,1.5172308683395386
78,1.7404614686965942
79,1.4393036365509033
80,1.7591233253479004
81,1.3782908916473389
82,1.3229624032974243
83,1.6420594453811646
84,1.3779373168945312
85,1.5471848249435425
86,1.2768222093582153
87,1.3242666721343994
88,1.5551022291183472
89,1.4380719661712646
90,1.5718382596969604
91,1.237128496170044
92,1.3646117448806763
93,1.411191463470459
94,1.6274149417877197
95,1.356654167175293
96,1.6272226572036743
97,1.3502542972564697
98,1.3536301851272583
99,1.4220342636108398
100,1.3721339702606201
101,1.363519549369812
102,1.392229676246643
103,1.568233609199524
104,1.3334146738052368
105,1.2388910055160522
106,1.4994158744812012
107,1.2831062078475952
108,1.4426255226135254
109,1.3477399349212646
110,1.2385280132293701
111,1.2513703107833862
112,1.3489797115325928
113,1.3625773191452026
114,1.3468453884124756
115,1.3496698141098022
116,1.3167412281036377
117,1.3556315898895264
118,1.379939079284668
119,1.5873169898986816
120,1.311339020729065
121,1.320556640625
122,1.522228717803955
123,1.2444146871566772
124,1.297334909439087
125,1.3476784229278564
126,1.294469952583313
127,1.2741997241973877
128,1.476534128189087
129,1.467974066734314
130,1.2744040489196777
131,1.4742400646209717
132,1.2335184812545776
133,1.280866026878357
134,1.4541072845458984
135,1.279760479927063
136,1.5140801668167114
137,1.6600192785263062
138,1.4199808835983276
139,1.7348581552505493
140,1.4474823474884033
141,1.432965636253357
142,1.7499351501464844
143,1.6791659593582153
144,1.5467623472213745
145,1.4001466035842896
146,1.5037457942962646
147,1.7598801851272583
148,1.6431667804718018
149,1.407757043838501
150,1.5191714763641357
151,1.234200119972229
152,1.4222298860549927
153,1.3922984600067139
154,1.4487006664276123
155,1.2678264379501343
156,1.4091777801513672
157,1.2466002702713013
158,1.416205883026123
159,1.4556187391281128
160,1.4420586824417114
161,1.4157930612564087
162,1.4221794605255127
163,1.354060173034668
164,1.3325976133346558
165,1.525501012802124
166,1.3811405897140503
167,1.5532526969909668
168,1.336789608001709
169,1.3855738639831543
170,1.2811819314956665
171,1.3566076755523682
172,1.3693550825119019
173,1.3914458751678467
174,1.2709451913833618
175,1.2562271356582642
176,1.3346022367477417
177,1.636462688446045
178,1.4043200016021729
179,1.2568719387054443
180,1.5572096109390259
181,1.3692247867584229
182,1.5542019605636597
183,1.424241542816162
184,1.4148029088974
185,1.4965026378631592
186,1.4333469867706299
187,1.4891282320022583
188,1.4549298286437988
189,1.4269450902938843
190,1.2154948711395264
191,1.3759663105010986
192,1.3807615041732788
193,1.427140235900879
194,1.4185024499893188
195,1.5020476579666138
196,1.3562871217727661
197,1.2767071723937988
198,1.4421106576919556
199,1.3740313053131104
200,1.3762178421020508
201,1.6702748537063599
202,1.6007272005081177
203,1.6037116050720215
204,1.4525582790374756
205,1.3026458024978638
206,1.456416368484497
207,1.4664359092712402
208,1.4384554624557495
209,1.4783337116241455
