Velocity Anterior,Amplitude
0.0,333781024.0
0.023738308882875182,59124388.0
0.047476617765750365,3229022.75
0.07121492664862555,2642531.5
0.09495323553150073,2191243.25
0.1186915444143759,1059719.75
0.1424298532972511,1141523.75
0.16616816218012628,1067318.0
0.18990647106300146,828558.75
0.21364477994587663,696381.0625
0.2373830888287518,556722.5625
0.261121397711627,543791.6875
0.2848597065945022,543589.9375
0.30859801547737736,460561.0625
0.33233632436025257,436833.875
0.3560746332431277,396877.15625
0.3798129421260029,391657.28125
0.4035512510088781,346318.875
0.42728955989175327,303842.53125
0.45102786877462847,290418.40625
0.4747661776575036,245411.203125
0.4985044865403788,242263.4375
0.522242795423254,229338.71875
0.5459811043061292,203059.9375
0.5697194131890044,199838.21875
0.5934577220718795,185377.71875
0.6171960309547547,158870.078125
0.6409343398376299,142896.453125
0.6646726487205051,135952.53125
0.6884109576033803,129089.890625
0.7121492664862554,132384.234375
0.7358875753691306,123772.4921875
0.7596258842520058,129465.0625
0.783364193134881,127172.2578125
0.8071025020177562,129676.3203125
0.8308408109006313,130782.9921875
0.8545791197835065,122152.3828125
0.8783174286663817,113800.3984375
0.9020557375492569,110877.3515625
0.9257940464321321,102803.0390625
0.9495323553150072,98321.3515625
0.9732706641978824,94711.3671875
0.9970089730807576,93291.921875
1.0207472819636327,87353.28125
1.044485590846508,86276.0859375
1.0682238997293831,88021.34375
1.0919622086122585,85534.6953125
1.1157005174951335,88135.328125
1.1394388263780089,88485.59375
1.163177135260884,88823.5390625
1.186915444143759,91862.2109375
1.2106537530266344,94430.609375
1.2343920619095095,91033.859375
1.2581303707923848,87347.34375
1.2818686796752599,86021.015625
1.305606988558135,82110.28125
1.3293452974410103,80876.6015625
1.3530836063238854,74303.765625
1.3768219152067607,67637.78125
1.4005602240896358,65993.453125
1.4242985329725109,60276.15234375
1.4480368418553862,57448.34375
1.4717751507382613,51172.37890625
1.4955134596211366,53449.7734375
1.5192517685040117,52835.31640625
1.5429900773868868,54629.6875
1.566728386269762,56681.48828125
1.5904666951526372,56503.5
1.6142050040355125,61051.4453125
1.6379433129183876,62625.953125
1.6616816218012627,63284.05078125
1.685419930684138,60951.7421875
1.709158239567013,61816.83984375
1.7328965484498884,60502.1484375
1.7566348573327635,58574.0234375
1.7803731662156386,55395.8828125
1.8041114750985139,52905.0625
1.827849783981389,51202.40234375
1.8515880928642643,49407.15625
1.8753264017471394,46432.66015625
1.8990647106300145,44320.92578125
1.9228030195128898,43574.59375
1.9465413283957649,42944.9140625
1.9702796372786402,44476.2578125
1.9940179461615153,46416.703125
2.0177562550443904,46870.49609375
2.0414945639272655,49027.94921875
2.065232872810141,48922.1875
2.088971181693016,48571.7578125
2.112709490575891,47649.73828125
2.1364477994587663,47653.76953125
2.1601861083416414,45382.7109375
2.183924417224517,42822.5
2.207662726107392,40584.7265625
2.231401034990267,38665.87109375
2.255139343873142,37402.66796875
2.2788776527560177,33646.953125
2.302615961638893,31929.658203125
2.326354270521768,31235.81640625
2.350092579404643,32027.001953125
2.373830888287518,33552.06640625
2.3975691971703936,35146.5546875
2.4213075060532687,37320.65234375
2.445045814936144,39459.63671875
2.468784123819019,41446.25
2.492522432701894,43055.02734375
2.5162607415847695,42990.39453125
2.5399990504676446,43469.6875
2.5637373593505197,43577.7890625
2.587475668233395,42298.9921875
2.61121397711627,41379.2890625
2.6349522859991454,38800.75
2.6586905948820205,37469.41796875
2.6824289037648956,34577.73046875
2.7061672126477707,33269.23828125
2.729905521530646,30527.32421875
2.7536438304135213,29643.712890625
2.7773821392963964,28971.67578125
2.8011204481792715,29411.8125
2.8248587570621466,29957.935546875
2.8485970659450217,30623.93359375
2.8723353748278972,32808.23828125
2.8960736837107723,33438.203125
2.9198119925936474,34671.37109375
2.9435503014765225,35532.015625
2.9672886103593976,35271.30859375
2.991026919242273,35120.91015625
3.0147652281251482,34991.421875
3.0385035370080233,33238.5859375
3.0622418458908984,31600.2109375
3.0859801547737735,29949.509765625
3.109718463656649,28764.7578125
3.133456772539524,26957.134765625
3.1571950814223992,25721.22265625
3.1809333903052743,24651.228515625
3.2046716991881494,24798.51171875
3.228410008071025,25706.26953125
3.2521483169539,26614.021484375
3.275886625836775,26728.541015625
3.2996249347196502,29070.02734375
3.3233632436025253,30044.07421875
3.347101552485401,31105.5078125
3.370839861368276,31753.12109375
3.394578170251151,31691.771484375
3.418316479134026,31690.822265625
3.4420547880169012,31398.232421875
3.4657930968997768,30336.65234375
3.489531405782652,29364.337890625
3.513269714665527,27537.6171875
3.537008023548402,25872.82421875
3.560746332431277,23702.4140625
3.5844846413141527,23392.7109375
3.6082229501970278,22304.146484375
3.631961259079903,21752.013671875
3.655699567962778,21962.68359375
3.679437876845653,22430.947265625
3.7031761857285286,24366.958984375
3.7269144946114037,25009.310546875
3.7506528034942788,25926.177734375
3.774391112377154,26303.326171875
3.798129421260029,28002.861328125
3.8218677301429045,27911.94140625
3.8456060390257796,27562.79296875
3.8693443479086547,27203.3203125
3.8930826567915298,25957.3046875
3.9168209656744053,25872.392578125
3.9405592745572804,24351.56640625
3.9642975834401555,22987.5859375
3.9880358923230306,20990.134765625
4.011774201205906,20606.501953125
4.035512510088781,20488.05078125
4.059250818971656,20068.822265625
4.082989127854531,20137.435546875
4.1067274367374065,21791.95703125
4.130465745620282,22620.810546875
4.154204054503157,23672.298828125
4.177942363386032,24793.818359375
4.201680672268907,25584.9609375
4.225418981151782,25958.595703125
4.249157290034658,26340.443359375
4.272895598917533,26321.47265625
4.296633907800408,25609.576171875
