Velocity,Amplitude
0.0,658379200.0
0.011864366561469284,21350304.0
0.023728733122938567,131270816.0
0.03559309968440785,6466607.5
0.047457466245877135,13950331.0
0.05932183280734642,10389492.0
0.0711861993688157,9600410.0
0.08305056593028498,11616311.0
0.09491493249175427,12838298.0
0.10677929905322356,11489566.0
0.11864366561469283,10408421.0
0.1305080321761621,10205815.0
0.1423723987376314,10526367.0
0.1542367652991007,9931030.0
0.16610113186056996,9695522.0
0.17796549842203926,8826198.0
0.18982986498350854,8080113.0
0.20169423154497781,7964573.5
0.21355859810644712,7644238.0
0.2254229646679164,6573672.5
0.23728733122938567,6567561.5
0.24915169779085497,5812552.0
0.2610160643523242,5313903.0
0.27288043091379355,4643586.0
0.2847447974752628,4489821.5
0.2966091640367321,3997184.75
0.3084735305982014,3838862.75
0.32033789715967065,3835226.0
0.3322022637211399,3624390.5
0.34406663028260925,3721697.5
0.35593099684407853,3711297.0
0.3677953634055478,3942950.5
0.3796597299670171,3825850.25
0.39152409652848635,3987412.5
0.40338846308995563,3969522.0
0.4152528296514249,4013357.5
0.42711719621289423,3909122.0
0.4389815627743635,3987669.0
0.4508459293358328,3821144.0
0.46271029589730206,3723594.75
0.47457466245877133,3584155.0
0.4864390290202406,3514560.25
0.49830339558170994,3370792.0
0.5101677621431792,3208844.75
0.5220321287046484,3032972.25
0.5338964952661178,2914741.5
0.5457608618275871,2790108.25
0.5576252283890564,2649675.75
0.5694895949505256,2556130.25
0.5813539615119949,2465691.75
0.5932183280734642,2410281.75
0.6050826946349335,2386750.75
0.6169470611964027,2406993.5
0.628811427757872,2373855.0
0.6406757943193413,2413901.5
0.6525401608808106,2373766.0
0.6644045274422798,2418388.5
0.6762688940037491,2424104.5
0.6881332605652185,2407206.75
0.6999976271266878,2409209.75
0.7118619936881571,2394192.75
0.7237263602496263,2353269.25
0.7355907268110956,2331711.0
0.7474550933725649,2286902.0
0.7593194599340342,2226046.25
0.7711838264955034,2210588.75
0.7830481930569727,2088318.5
0.794912559618442,2047783.875
0.8067769261799113,1960665.375
0.8186412927413805,1906008.375
0.8305056593028498,1829099.0
0.8423700258643192,1808708.25
0.8542343924257885,1733194.25
0.8660987589872577,1699730.5
0.877963125548727,1669867.875
0.8898274921101963,1662796.375
0.9016918586716656,1652158.5
0.9135562252331348,1648179.625
0.9254205917946041,1664752.5
0.9372849583560734,1676203.875
0.9491493249175427,1663062.75
0.9610136914790119,1656113.75
0.9728780580404812,1666405.375
0.9847424246019505,1654453.5
0.9966067911634199,1661675.75
1.008471157724889,1663112.5
1.0203355242863583,1645135.75
1.0321998908478276,1627250.125
1.0440642574092969,1607108.25
1.0559286239707661,1577099.25
1.0677929905322356,1570037.375
1.079657357093705,1522349.625
1.0915217236551742,1488903.5
1.1033860902166435,1453080.5
1.1152504567781127,1425609.625
1.127114823339582,1392421.5
1.1389791899010513,1368008.75
1.1508435564625206,1335206.75
1.1627079230239898,1306564.625
1.1745722895854591,1293132.75
1.1864366561469284,1260263.125
1.1983010227083977,1246846.375
1.210165389269867,1217081.375
1.2220297558313362,1202094.5
1.2338941223928055,1190986.25
1.2457584889542748,1175887.625
1.257622855515744,1148964.0
1.2694872220772133,1139407.0
1.2813515886386826,1125793.375
1.2932159552001519,1120628.125
1.3050803217616211,1107930.25
1.3169446883230904,1100515.75
1.3288090548845597,1095607.875
1.340673421446029,1086800.375
1.3525377880074982,1075286.25
1.3644021545689675,1071185.0
1.376266521130437,1063464.0
1.3881308876919063,1044682.375
1.3999952542533756,1040422.5625
1.4118596208148448,1027088.6875
1.4237239873763141,1017950.8125
1.4355883539377834,1007892.875
1.4474527204992527,1010192.1875
1.459317087060722,1003643.4375
1.4711814536221912,991788.125
1.4830458201836605,984961.8125
1.4949101867451298,982136.625
1.506774553306599,978292.6875
1.5186389198680683,976170.3125
1.5305032864295376,968036.125
1.5423676529910069,960994.0
1.5542320195524761,951677.5625
1.5660963861139454,945854.4375
1.5779607526754147,943493.5
1.589825119236884,936000.375
1.6016894857983532,933949.8125
1.6135538523598225,928943.1875
1.6254182189212918,922056.0625
1.637282585482761,908279.625
1.6491469520442303,899074.6875
1.6610113186056996,888651.0625
1.6728756851671691,877205.6875
1.6847400517286384,867325.4375
1.6966044182901077,858752.375
1.708468784851577,850678.4375
1.7203331514130462,845572.375
1.7321975179745155,842812.375
1.7440618845359848,836959.0625
1.755926251097454,833221.375
1.7677906176589233,831069.125
1.7796549842203926,831580.6875
1.7915193507818619,831932.8125
1.8033837173433311,831680.375
1.8152480839048004,827981.6875
1.8271124504662697,829517.5625
1.838976817027739,829079.875
1.8508411835892082,830858.75
1.8627055501506775,828710.0625
1.8745699167121468,827222.0
1.886434283273616,826247.6875
1.8982986498350853,821339.1875
1.9101630163965546,814628.625
1.9220273829580239,811023.6875
1.9338917495194932,806273.5625
1.9457561160809624,798199.1875
1.9576204826424317,792656.5625
1.969484849203901,781972.25
1.9813492157653705,772303.6875
1.9932135823268398,763151.4375
2.005077948888309,754677.6875
2.016942315449778,747851.9375
2.0288066820112474,740496.125
2.0406710485727166,737166.5625
2.052535415134186,730934.1875
2.064399781695655,725757.9375
2.0762641482571245,720317.875
2.0881285148185937,717452.375
2.099992881380063,714651.1875
2.1118572479415323,712506.0
2.1237216145030016,710340.1875
2.1355859810644713,709786.875
2.1474503476259406,707202.25
2.15931471418741,707889.25
2.171179080748879,706291.9375
2.1830434473103484,706040.25
2.1949078138718177,701628.8125
2.206772180433287,698888.5
2.218636546994756,694918.375
2.2305009135562255,689280.3125
