Time,Velocity
0,1.9562982320785522
1,1.7398139238357544
2,1.8418028354644775
3,1.9050157070159912
4,1.993050217628479
5,1.8430134057998657
6,1.978986144065857
7,1.9461498260498047
8,1.906715989112854
9,1.869724154472351
10,1.5181206464767456
11,1.9427125453948975
12,2.0485658645629883
13,1.8946049213409424
14,1.944218635559082
15,1.8736631870269775
16,1.9483063220977783
17,1.7645379304885864
18,1.9091594219207764
19,1.9766534566879272
20,2.0593841075897217
21,1.6224836111068726
22,1.9561532735824585
23,1.5381252765655518
24,1.5136691331863403
25,1.6258869171142578
26,1.6271634101867676
27,2.0188193321228027
28,1.968738079071045
29,1.6006718873977661
30,1.532928466796875
31,1.603305459022522
32,1.5709168910980225
33,2.1484644412994385
34,1.9236400127410889
35,1.5818979740142822
36,2.1616437435150146
37,1.8374673128128052
38,1.9790242910385132
39,1.8117094039916992
40,1.9251539707183838
41,1.8005772829055786
42,1.7449012994766235
43,1.6466655731201172
44,1.568007230758667
45,1.6397432088851929
46,1.9433528184890747
47,1.6285672187805176
48,1.6337218284606934
49,2.037130355834961
50,1.6270407438278198
51,1.610084891319275
52,1.7107112407684326
53,1.6512576341629028
54,1.8145564794540405
55,1.6145679950714111
56,1.4634469747543335
57,1.6122599840164185
58,1.5914294719696045
59,1.860551118850708
60,1.9450180530548096
61,2.0819952487945557
62,1.925289511680603
63,1.7514894008636475
64,1.6164928674697876
65,1.6488734483718872
66,1.860394835472107
67,1.7264221906661987
68,1.516950249671936
69,1.6405218839645386
70,1.4738812446594238
71,1.6437383890151978
72,1.5384794473648071
73,1.5271857976913452
74,1.560067892074585
75,1.589439034461975
76,1.564217209815979
77,1.56172776222229
78,1.6267873048782349
79,1.6567420959472656
80,1.632494568824768
81,1.5123401880264282
82,1.562395691871643
83,1.5629736185073853
84,1.6811537742614746
85,2.027217149734497
86,1.6142101287841797
87,1.7798513174057007
88,1.596483826637268
89,1.4980219602584839
90,1.5731315612792969
91,1.5579346418380737
92,1.5547019243240356
93,1.9417591094970703
94,1.5861009359359741
95,1.9369181394577026
96,1.6019172668457031
97,1.6555898189544678
98,1.951887607574463
99,1.568454384803772
100,1.6380343437194824
101,1.6357792615890503
102,1.5583516359329224
103,1.655393362045288
104,1.5046836137771606
105,1.5654088258743286
106,1.465627908706665
107,1.5779032707214355
108,1.5813181400299072
109,1.5190575122833252
110,1.5404605865478516
111,1.4841723442077637
112,1.579352855682373
113,1.5610920190811157
114,1.5771719217300415
115,1.5922192335128784
116,2.006406307220459
117,1.7376494407653809
118,1.4647923707962036
119,1.7808185815811157
120,1.5966547727584839
121,1.8761495351791382
122,1.920711636543274
123,1.9665287733078003
124,1.8110475540161133
125,1.9063373804092407
126,1.8039720058441162
127,1.560605525970459
128,1.8585681915283203
129,1.8008251190185547
130,1.5531446933746338
131,1.9260785579681396
132,1.7405686378479004
