Frequency,Amplitude
0.004032258064516129,6139924.0
0.008064516129032258,4812041.5
0.012096774193548387,3967865.25
0.016129032258064516,4131103.75
0.020161290322580645,6285554.0
0.024193548387096774,3772099.5
0.028225806451612902,4199380.0
0.03225806451612903,2368283.75
0.03629032258064516,3512618.0
0.04032258064516129,2093685.75
0.04435483870967742,3875147.25
0.04838709677419355,2008006.875
0.05241935483870967,2570576.75
0.056451612903225805,2148721.75
0.06048387096774194,2684195.25
0.06451612903225806,2822287.25
0.06854838709677419,4067564.0
0.07258064516129031,2611782.25
0.07661290322580645,2690684.0
0.08064516129032258,3552262.25
0.0846774193548387,2106080.75
0.08870967741935484,3670423.25
0.09274193548387097,3416037.75
0.0967741935483871,1450106.75
0.10080645161290322,3689335.25
0.10483870967741934,2798245.25
0.10887096774193548,1119549.5
0.11290322580645161,2510210.25
0.11693548387096774,2269354.75
0.12096774193548387,2442606.0
0.125,2384984.5
0.12903225806451613,3524692.75
0.13306451612903225,2576170.0
0.13709677419354838,2609505.25
0.1411290322580645,2324455.5
0.14516129032258063,1426508.625
0.14919354838709678,4557938.5
0.1532258064516129,3644883.0
0.15725806451612903,1280883.375
0.16129032258064516,1934937.625
0.16532258064516128,2704542.0
0.1693548387096774,2951249.75
0.17338709677419353,2921509.75
0.1774193548387097,2529868.5
0.1814516129032258,2921822.25
0.18548387096774194,1704776.375
0.18951612903225806,2472305.0
0.1935483870967742,2725607.75
0.1975806451612903,2357423.25
0.20161290322580644,3347933.5
0.20564516129032256,3404253.5
0.2096774193548387,1521639.625
0.21370967741935484,2455262.75
0.21774193548387097,2213840.0
0.2217741935483871,1660907.5
0.22580645161290322,2907721.5
0.22983870967741934,3037951.5
0.23387096774193547,1659994.75
0.2379032258064516,2042805.75
0.24193548387096775,2665662.75
0.24596774193548387,2285250.0
0.25,1431525.75
0.2540322580645161,2581617.5
0.25806451612903225,2984295.5
0.2620967741935484,1697691.75
0.2661290322580645,3336119.5
0.2701612903225806,1880027.5
0.27419354838709675,2686880.5
0.2782258064516129,2303953.25
0.282258064516129,2047035.75
0.28629032258064513,3692021.0
0.29032258064516125,2733873.75
0.29435483870967744,1987755.0
0.29838709677419356,2987227.0
0.3024193548387097,2682167.5
0.3064516129032258,2294958.5
0.31048387096774194,1787391.875
0.31451612903225806,1993014.625
0.3185483870967742,2430886.75
0.3225806451612903,2269010.75
0.32661290322580644,1655949.875
0.33064516129032256,2978284.25
0.3346774193548387,2491789.75
0.3387096774193548,3145925.0
0.34274193548387094,2548764.75
0.34677419354838707,2203309.0
0.3508064516129032,3098276.75
0.3548387096774194,2098737.75
0.3588709677419355,1297695.25
0.3629032258064516,2098033.25
0.36693548387096775,883573.0625
0.3709677419354839,2332979.0
0.375,2157242.75
0.3790322580645161,2163000.0
0.38306451612903225,2292789.25
0.3870967741935484,1780364.125
0.3911290322580645,2182665.0
0.3951612903225806,2337100.0
0.39919354838709675,3858454.25
0.4032258064516129,2292616.25
0.407258064516129,1705465.375
0.41129032258064513,2184371.0
0.41532258064516125,1926550.75
0.4193548387096774,1765690.125
0.42338709677419356,2878574.0
0.4274193548387097,2197408.0
0.4314516129032258,2261724.25
0.43548387096774194,1442663.125
0.43951612903225806,2654177.25
0.4435483870967742,2335604.0
0.4475806451612903,2818087.75
0.45161290322580644,2148183.5
0.45564516129032256,2016060.125
0.4596774193548387,1829590.5
0.4637096774193548,1072482.0
0.46774193548387094,1754743.75
0.47177419354838707,1235314.625
0.4758064516129032,2508789.0
0.4798387096774193,2236348.5
0.4838709677419355,2134489.75
0.4879032258064516,4134423.75
0.49193548387096775,2969215.5
0.4959677419354839,4355249.5
